tag,name,role,lastSeen,expLevel,trophies,arena_id,arena_name,clanRank,previousClanRank,donations,donationsReceived,clanChestPoints
#YULLV9Y9,しるふぃー,elder,20191129T163649.000Z,13,6040,54000018,Champion,1,2,569,360,0
#GGVL2GJR,ANDRW ARCADIAN,member,20191129T054959.000Z,13,5955,54000017,Master III,2,1,28,40,0
#9V8L92P2,Sir Derek,leader,20191129T172125.000Z,13,5906,54000017,Master III,3,3,500,480,0
#8JUU2UQV,Ginglet,coLeader,20191129T152317.000Z,13,5818,54000017,Master III,4,4,474,360,0
#2P9YU299,gbbeast45,member,20191129T042333.000Z,13,5815,54000017,Master III,5,5,162,310,0
#2JQ88R2LY,edgar,member,20191129T155334.000Z,13,5815,54000017,Master III,6,9,964,480,0
#V99V92RG,aRandomLebo,elder,20191129T133230.000Z,13,5734,54000017,Master III,7,11,196,360,0
#9CPRCP08U,MiguelJr2018,member,20191129T144744.000Z,12,5725,54000017,Master III,8,8,229,480,0
#8QLC98QGV,William,elder,20191129T104716.000Z,13,5706,54000017,Master III,9,6,286,380,0
#89ULRVGYL,sentenza,elder,20191129T181129.000Z,13,5672,54000017,Master III,10,10,762,560,0
#892R99CV0,知之,member,20191129T100611.000Z,12,5656,54000017,Master III,11,12,28,120,0
#2LV98R99,Nyfe,member,20191129T141256.000Z,13,5625,54000017,Master III,12,13,544,320,0
#G8QP0RYJ,Dr. Peanut,member,20191129T180714.000Z,12,5616,54000017,Master III,13,0,40,0,0
#2LJPPCCJ8,Hot Sauce,coLeader,20191129T173704.000Z,13,5613,54000017,Master III,14,16,1010,400,0
#C8J2Y9YV,marco,member,20191129T171705.000Z,12,5610,54000017,Master III,15,15,266,200,0
#2VV8JCLGC,Vitamin A,member,20191129T173834.000Z,13,5600,54000017,Master III,16,0,40,40,0
#2YRCJVCY,DAP15,coLeader,20191129T115105.000Z,13,5565,54000016,Master II,17,23,0,0,0
#80Y8J2L28,无名,member,20191129T100700.000Z,12,5555,54000016,Master II,18,24,46,255,0
#RUJVYYJY,Fantasy,member,20191129T160347.000Z,12,5542,54000016,Master II,19,14,10,250,0
#99QRPPPU,El Guapo,member,20191129T162050.000Z,13,5531,54000016,Master II,20,18,375,504,0
#22C0Q9QU,MastGosu,member,20191129T165232.000Z,13,5515,54000016,Master II,21,21,256,320,0
#2QQGV8VJ9,supremo1501,member,20191129T181250.000Z,12,5501,54000016,Master II,22,17,396,320,0
#GJPVRJ8P,spawn1010,elder,20191129T143203.000Z,13,5485,54000016,Master II,23,19,262,240,0
#CU0QPVP,4k,member,20191128T221902.000Z,13,5453,54000016,Master II,24,25,368,360,0
#YQP2VCJY,Nova l Wilber,member,20191129T164255.000Z,12,5424,54000016,Master II,25,26,40,40,0
#LP8JPGCR,fedegervasoni,member,20191129T155635.000Z,12,5416,54000016,Master II,26,22,97,120,0
#9VQGLCC8R,Ariel,member,20191128T162622.000Z,12,5404,54000016,Master II,27,27,198,280,0
#29J2YCJPU,ILumiŇacho-NK,member,20191128T183405.000Z,12,5394,54000016,Master II,28,28,30,120,0
#8C0G0L9Q,Gandhi,member,20191129T180803.000Z,13,5377,54000016,Master II,29,30,274,400,0
#PRGJYGG9,Seb Fury,member,20191129T152447.000Z,12,5373,54000016,Master II,30,29,454,280,0
#22RRJ2P8P,Erick,member,20191129T025933.000Z,12,5348,54000016,Master II,31,32,124,160,0
#82Q0JVUVL,luiggi,member,20191129T153808.000Z,12,5316,54000016,Master II,32,0,0,40,0
#CV809RC,Johnny Cupcakes,member,20191129T050444.000Z,13,5306,54000016,Master II,33,34,252,360,0
#RG908GLC,你好肥,member,20191129T044352.000Z,12,5282,54000015,Master I,34,35,359,320,0
#2CPP9VPGC,boom,member,20191129T163741.000Z,12,5282,54000015,Master I,35,33,130,40,0
#PCU0Y2Q9,龍的傳人 決鬥。,member,20191128T152234.000Z,13,5042,54000015,Master I,36,36,70,160,0
#PLU8PCCR,MrDoWork210,elder,20191129T180902.000Z,13,5030,54000015,Master I,37,37,168,320,0
#2RGCJYL2C,Nova 1 Lopez,member,20191128T164126.000Z,11,5027,54000015,Master I,38,38,0,0,0
#2980LYVY0,i am legend,member,20191129T125708.000Z,12,5027,54000015,Master I,39,39,170,240,0
#YCQ2JC0L,SupanooK,member,20191129T080151.000Z,13,4488,54000013,Challenger II,40,40,96,240,0
